id;id_drink;name;price;description;status;created_date;created_by;updated_date;updated_by
1;Orchestrator Quality-focused indexing;Crescent payment Triple-buffered;52326;Account Colorado Ball;CURRENT;2022-03-26T22:50:53;77365;2022-03-27T07:01:37;80135
2;Rwanda executive Azerbaijan;up Center Small;30100;directional;SOLD_OUT;2022-03-27T09:05:28;57083;2022-03-26T13:17:59;56163
3;copying purple;Account Metal;62798;Internal Guyana Glens;SOLD_OUT;2022-03-27T11:44:50;3010;2022-03-27T04:56:41;51010
4;withdrawal quantifying;Borders Louisiana open-source;75436;User-centric;CURRENT;2022-03-26T18:15:47;99862;2022-03-27T04:56:53;49942
5;integrated Product;Brand hybrid Court;64641;salmon Awesome;SOLD_OUT;2022-03-26T12:23:39;44233;2022-03-27T06:13:25;73411
6;XSSXXX;Liaison Planner;12233;AI;SOLD_OUT;2022-03-26T17:49:26;84990;2022-03-26T13:20:53;80391
7;Future;generating Cotton;81198;payment Metrics Music;HOT;2022-03-27T06:22:34;52268;2022-03-26T20:53:43;63581
8;Fantastic cross-platform Liban;Cambridgeshire Soft;48085;ubiquitous RAM Pataca;HOT;2022-03-26T20:51:24;49694;2022-03-27T08:43:32;3934
9;quantifying;Focused Pants;9808;collaborative Paradigm Optimization;HOT;2022-03-26T17:16:15;94806;2022-03-26T14:24:03;6321
10;Computer;Accountability quantifying payment;21690;Tuna;SOLD_OUT;2022-03-26T12:57:53;81163;2022-03-27T05:41:57;54386
